c,r,n,r2,m
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1053"",id: ""1053"",value: ""'13 1st ave. near 1st st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1053"",id: ""1053"",value: ""'13 1st ave. near 1st st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1052"",id: ""1052"",value: ""' 948 1st ave. between 52nd and 53rd sts . '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/753 -1870"",name: ""` billy \ 's '"",cuisine: ""american"",label: ""a192"",id: ""192""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1052"",id: ""1052"",value: ""' 948 1st ave. between 52nd and 53rd sts . '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1052"",id: ""1052"",value: ""' 948 1st ave. between 52nd and 53rd sts . '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1051"",id: ""1051"",value: ""' 228 8th ave. between 21st and 22nd sts . '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/206 -0059"",name: ""` big cup '"",cuisine: ""` coffee bar '"",label: ""a191"",id: ""191""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1051"",id: ""1051"",value: ""' 228 8th ave. between 21st and 22nd sts . '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1051"",id: ""1051"",value: ""' 228 8th ave. between 21st and 22nd sts . '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1050"",id: ""1050"",value: ""' 123 w. 52nd st. '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/581 -8888"",name: ""` ben benson \ 's '"",cuisine: ""american"",label: ""a190"",id: ""190""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1050"",id: ""1050"",value: ""' 123 w. 52nd st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1050"",id: ""1050"",value: ""' 123 w. 52nd st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1049"",id: ""1049"",value: ""' 321 w. 46th st. '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/246 -9171"",name: ""barbetta"",cuisine: ""italian"",label: ""a189"",id: ""189""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1049"",id: ""1049"",value: ""' 321 w. 46th st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1049"",id: ""1049"",value: ""' 321 w. 46th st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1048"",id: ""1048"",value: ""' 1022 3rd ave. between 60th and 61st sts . '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/355 -1112"",name: ""` bar anise '"",cuisine: ""mediterranean"",label: ""a188"",id: ""188""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1048"",id: ""1048"",value: ""' 1022 3rd ave. between 60th and 61st sts . '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1048"",id: ""1048"",value: ""' 1022 3rd ave. between 60th and 61st sts . '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1047"",id: ""1047"",value: ""' 200-250 vesey st. world financial center '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/385 -0313"",name: ""` au mandarin '"",cuisine: ""asian"",label: ""a187"",id: ""187""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1047"",id: ""1047"",value: ""' 200-250 vesey st. world financial center '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1047"",id: ""1047"",value: ""' 200-250 vesey st. world financial center '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1046"",id: ""1046"",value: ""' 106 w. houston st. off thompson st. '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/677 -3820"",name: ""` arturo \ 's '"",cuisine: ""italian"",label: ""a186"",id: ""186""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1046"",id: ""1046"",value: ""' 106 w. houston st. off thompson st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1046"",id: ""1046"",value: ""' 106 w. houston st. off thompson st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1045"",id: ""1045"",value: ""' 206 206 e. 60th st. '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/838 -0440"",name: ""arizona"",cuisine: ""american"",label: ""a185"",id: ""185""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1045"",id: ""1045"",value: ""' 206 206 e. 60th st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1045"",id: ""1045"",value: ""' 206 206 e. 60th st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1044"",id: ""1044"",value: ""' 222 e. 58th st. between 2nd and 3rd aves . '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/308 -0112"",name: ""` anche vivolo '"",cuisine: ""italian"",label: ""a184"",id: ""184""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1044"",id: ""1044"",value: ""' 222 e. 58th st. between 2nd and 3rd aves . '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1044"",id: ""1044"",value: ""' 222 e. 58th st. between 2nd and 3rd aves . '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1043"",id: ""1043"",value: ""' 2 park ave. at 32nd st. '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/684 -2122"",name: ""` american place '"",cuisine: ""american"",label: ""a183"",id: ""183""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1043"",id: ""1043"",value: ""' 2 park ave. at 32nd st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1043"",id: ""1043"",value: ""' 2 park ave. at 32nd st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1042"",id: ""1042"",value: ""' 1 united nations plaza at 44th st. '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/702 -5014"",name: ""` ambassador grill '"",cuisine: ""american"",label: ""a182"",id: ""182""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1042"",id: ""1042"",value: ""' 1 united nations plaza at 44th st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1042"",id: ""1042"",value: ""' 1 united nations plaza at 44th st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1041"",id: ""1041"",value: ""' 311 w. 17th st. '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/627 -8899"",name: ""` alley \ 's end '"",cuisine: ""american"",label: ""a181"",id: ""181""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1041"",id: ""1041"",value: ""' 311 w. 17th st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1041"",id: ""1041"",value: ""' 311 w. 17th st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1040"",id: ""1040"",value: ""' 304 e. 48th st. '""})",[:LOCATED_AT],"(:Restaurant {phone: ""' 212 / 759-0590 '"",name: ""alamo"",cuisine: ""mexican"",id: ""180"",label: ""a180""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1040"",id: ""1040"",value: ""' 304 e. 48th st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1040"",id: ""1040"",value: ""' 304 e. 48th st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1039"",id: ""1039"",value: ""' 937 broadway at 22nd st. '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/473 -8388"",name: ""aja"",cuisine: ""american"",id: ""179"",label: ""a179""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1039"",id: ""1039"",value: ""' 937 broadway at 22nd st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1039"",id: ""1039"",value: ""' 937 broadway at 22nd st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1038"",id: ""1038"",value: ""' 322 e. 14 st. between 1st and 2nd aves . '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/473 -2602"",name: ""agrotikon"",cuisine: ""mediterranean"",label: ""a178"",id: ""178""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1038"",id: ""1038"",value: ""' 322 e. 14 st. between 1st and 2nd aves . '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1038"",id: ""1038"",value: ""' 322 e. 14 st. between 1st and 2nd aves . '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1037"",id: ""1037"",value: ""' 700 5th ave. at 55th st. '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/903 -3918"",name: ""adrienne"",cuisine: ""french"",label: ""a177"",id: ""177""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1037"",id: ""1037"",value: ""' 700 5th ave. at 55th st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1037"",id: ""1037"",value: ""' 700 5th ave. at 55th st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1036"",id: ""1036"",value: ""' 9 jones st. '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/989 -1220"",name: ""' 9 jones street '"",cuisine: ""american"",label: ""a176"",id: ""176""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1036"",id: ""1036"",value: ""' 9 jones st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1036"",id: ""1036"",value: ""' 9 jones st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1035"",id: ""1035"",value: ""'20 mott st. between bowery and pell st. '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/964 -0380"",name: ""'20 mott '"",cuisine: ""asian"",label: ""a175"",id: ""175""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1035"",id: ""1035"",value: ""'20 mott st. between bowery and pell st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1035"",id: ""1035"",value: ""'20 mott st. between bowery and pell st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f977"",id: ""977"",value: ""' 145 w. 53rd st. '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/581 -4242"",name: ""remi"",cuisine: ""italian"",id: ""114"",label: ""a114""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f977"",id: ""977"",value: ""' 145 w. 53rd st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f977"",id: ""977"",value: ""' 145 w. 53rd st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f976"",id: ""976"",value: ""' 251 e. 53rd st. '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/753 -8450"",name: ""` il nido '"",cuisine: ""italian"",label: ""a113"",id: ""113""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f976"",id: ""976"",value: ""' 251 e. 53rd st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f976"",id: ""976"",value: ""' 251 e. 53rd st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f975"",id: ""975"",value: ""'23 e. 22nd st. '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/228 -2200"",name: ""bolo"",cuisine: ""mediterranean"",id: ""112"",label: ""a112""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f975"",id: ""975"",value: ""'23 e. 22nd st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f975"",id: ""975"",value: ""'23 e. 22nd st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f930"",id: ""930"",value: ""' 152 w. 44th st. '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212-921-9494"",name: ""` virgil \ 's real bbq '"",cuisine: ""bbq"",label: ""a817"",id: ""817""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f930"",id: ""930"",value: ""' 152 w. 44th st. '""})",[:LOCATED_AT],"(:Restaurant {phone: ""' 212 / 921-9494 '"",name: ""` virgil \ 's '"",cuisine: ""american"",id: ""66"",label: ""a66""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f930"",id: ""930"",value: ""' 152 w. 44th st. '""})",[:IN_CITY],"(:City {label: ""v1678"",id: ""1678"",value: ""` new york city '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f930"",id: ""930"",value: ""' 152 w. 44th st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f930"",id: ""930"",value: ""' 152 w. 44th st. '""})",[:IN_CITY],"(:City {label: ""v1678"",id: ""1678"",value: ""` new york city '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f930"",id: ""930"",value: ""' 152 w. 44th st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f929"",id: ""929"",value: ""'21 e. 16th st. '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212-243-4020"",name: ""` union square cafe '"",cuisine: ""` american ( new ) '"",label: ""a816"",id: ""816""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f929"",id: ""929"",value: ""'21 e. 16th st. '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/243 -4020"",name: ""` union square cafe '"",cuisine: ""american"",label: ""a65"",id: ""65""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f929"",id: ""929"",value: ""'21 e. 16th st. '""})",[:IN_CITY],"(:City {label: ""v1678"",id: ""1678"",value: ""` new york city '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f929"",id: ""929"",value: ""'21 e. 16th st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f929"",id: ""929"",value: ""'21 e. 16th st. '""})",[:IN_CITY],"(:City {label: ""v1678"",id: ""1678"",value: ""` new york city '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f929"",id: ""929"",value: ""'21 e. 16th st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f928"",id: ""928"",value: ""' 747 9th ave. between 50th and 51st sts . '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/315 -1726"",name: ""` uncle nick \ 's '"",cuisine: ""mediterranean"",label: ""a64"",id: ""64""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f928"",id: ""928"",value: ""' 747 9th ave. between 50th and 51st sts . '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f928"",id: ""928"",value: ""' 747 9th ave. between 50th and 51st sts . '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f927"",id: ""927"",value: ""` in central park at 67th st. '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/873 -3200"",name: ""` tavern on the green '"",cuisine: ""american"",label: ""a63"",id: ""63""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f927"",id: ""927"",value: ""` in central park at 67th st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f927"",id: ""927"",value: ""` in central park at 67th st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f926"",id: ""926"",value: ""' 201 e. 49th st. '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/753 -1530"",name: ""` smith & wollensky '"",cuisine: ""american"",label: ""a62"",id: ""62""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f926"",id: ""926"",value: ""' 201 e. 49th st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f926"",id: ""926"",value: ""' 201 e. 49th st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f925"",id: ""925"",value: ""' 1110 3rd ave. at 65th st. '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/861 -8080"",name: ""` sign of the dove '"",cuisine: ""american"",label: ""a61"",id: ""61""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f925"",id: ""925"",value: ""' 1110 3rd ave. at 65th st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f925"",id: ""925"",value: ""' 1110 3rd ave. at 65th st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f924"",id: ""924"",value: ""'43 w. 65th st. '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/371 -8844"",name: ""` shun lee west '"",cuisine: ""asian"",label: ""a60"",id: ""60""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f924"",id: ""924"",value: ""'43 w. 65th st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f924"",id: ""924"",value: ""'43 w. 65th st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f923"",id: ""923"",value: ""'11 e. 53rd st. '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212-980-9393"",name: ""seryna"",cuisine: ""japanese"",label: ""a810"",id: ""810""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f923"",id: ""923"",value: ""'11 e. 53rd st. '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/980 -9393"",name: ""seryna"",cuisine: ""asian"",label: ""a59"",id: ""59""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f923"",id: ""923"",value: ""'11 e. 53rd st. '""})",[:IN_CITY],"(:City {label: ""v1678"",id: ""1678"",value: ""` new york city '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f923"",id: ""923"",value: ""'11 e. 53rd st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f923"",id: ""923"",value: ""'11 e. 53rd st. '""})",[:IN_CITY],"(:City {label: ""v1678"",id: ""1678"",value: ""` new york city '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f923"",id: ""923"",value: ""'11 e. 53rd st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f922"",id: ""922"",value: ""' 156 2nd ave. at 10th st. '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/677 -0606"",name: ""` second avenue deli '"",cuisine: ""delicatessen"",label: ""a58"",id: ""58""})"
